waktu,suhu_2,suhu_permukaan,kelembaban_tanah
2020-05-01 00:00:06,29.0,63.0,84.0
2020-05-01 00:00:09,29.0,63.0,84.0
2020-05-01 00:00:12,29.0,63.0,84.0
2020-05-01 00:00:15,29.0,63.0,84.0
2020-05-01 00:00:18,29.0,63.0,84.0
2020-05-01 00:00:21,29.0,63.0,84.0
2020-05-01 00:00:24,29.0,63.0,84.0
2020-05-01 00:00:27,29.0,62.0,84.0
2020-05-01 00:00:30,29.0,62.0,84.0
2020-05-01 00:00:33,29.0,63.0,84.0
2020-05-01 00:00:36,29.0,63.0,84.0
2020-05-01 00:00:39,29.0,62.0,84.0
2020-05-01 00:00:42,29.0,62.0,84.0
2020-05-01 00:00:45,29.0,62.0,84.0
2020-05-01 00:00:48,29.0,62.0,84.0
2020-05-01 00:00:51,29.0,62.0,84.0
2020-05-01 00:00:54,29.0,62.0,84.0
2020-05-01 00:00:57,29.0,62.0,84.0
2020-05-01 00:01:00,29.0,62.0,84.0
2020-05-01 00:01:03,29.0,62.0,84.0
2020-05-01 00:01:06,29.0,63.0,84.0
2020-05-01 00:01:09,29.0,63.0,84.0
2020-05-01 00:01:12,29.0,63.0,84.0
2020-05-01 00:01:15,29.0,63.0,84.0
2020-05-01 00:01:18,29.0,62.0,84.0
2020-05-01 00:01:21,29.0,62.0,84.0
2020-05-01 00:01:24,29.0,62.0,84.0
2020-05-01 00:01:27,29.0,62.0,84.0
2020-05-01 00:01:30,29.0,63.0,84.0
2020-05-01 00:01:33,29.0,63.0,84.0
2020-05-01 00:01:36,29.0,63.0,84.0
2020-05-01 00:01:39,29.0,63.0,84.0
2020-05-01 00:01:42,29.0,63.0,84.0
2020-05-01 00:01:45,29.0,62.0,84.0
2020-05-01 00:01:48,29.0,62.0,84.0
2020-05-01 00:01:51,29.0,63.0,84.0
2020-05-01 00:01:54,29.0,63.0,84.0
2020-05-01 00:01:57,29.0,62.0,84.0
2020-05-01 00:02:00,29.0,62.0,84.0
2020-05-01 00:02:03,28.0,63.0,84.0
2020-05-01 00:02:06,28.0,63.0,84.0
2020-05-01 00:02:09,28.0,63.0,84.0
2020-05-01 00:02:12,28.0,63.0,84.0
2020-05-01 00:02:15,29.0,63.0,84.0
2020-05-01 00:02:18,29.0,63.0,84.0
2020-05-01 00:02:21,29.0,63.0,84.0
2020-05-01 00:02:24,28.0,64.0,84.0
2020-05-01 00:02:27,28.0,64.0,84.0
2020-05-01 00:02:30,29.0,64.0,84.0
2020-05-01 00:02:33,29.0,64.0,84.0
2020-05-01 00:02:36,29.0,63.0,84.0
2020-05-01 00:02:39,29.0,63.0,84.0
2020-05-01 00:02:42,29.0,62.0,84.0
2020-05-01 00:02:45,29.0,62.0,84.0
2020-05-01 00:02:48,29.0,63.0,84.0
2020-05-01 00:02:51,29.0,63.0,84.0
2020-05-01 00:02:54,29.0,63.0,84.0
2020-05-01 00:02:57,29.0,63.0,84.0
2020-05-01 00:03:00,29.0,63.0,84.0
2020-05-01 00:03:03,29.0,62.0,84.0
2020-05-01 00:03:06,29.0,62.0,84.0
2020-05-01 00:03:09,29.0,62.0,84.0
2020-05-01 00:03:12,29.0,62.0,84.0
2020-05-01 00:03:15,29.0,63.0,84.0
2020-05-01 00:03:18,29.0,63.0,84.0
2020-05-01 00:03:21,29.0,62.0,84.0
2020-05-01 00:03:24,29.0,62.0,84.0
2020-05-01 00:03:27,29.0,62.0,85.0
2020-05-01 00:03:30,29.0,62.0,85.0
2020-05-01 00:03:33,29.0,62.0,85.0
2020-05-01 00:03:36,28.0,63.0,84.0
2020-05-01 00:03:39,28.0,63.0,84.0
2020-05-01 00:03:42,29.0,63.0,84.0
2020-05-01 00:03:45,29.0,63.0,84.0
2020-05-01 00:03:48,29.0,62.0,84.0
2020-05-01 00:03:51,29.0,62.0,84.0
2020-05-01 00:03:54,29.0,63.0,84.0
2020-05-01 00:03:57,29.0,63.0,84.0
2020-05-01 00:04:00,29.0,63.0,84.0
2020-05-01 00:04:03,29.0,63.0,84.0
2020-05-01 00:04:06,29.0,64.0,84.0
2020-05-01 00:04:09,29.0,64.0,84.0
2020-05-01 00:04:12,29.0,64.0,84.0
2020-05-01 00:04:15,28.0,63.0,84.0
2020-05-01 00:04:18,28.0,63.0,84.0
2020-05-01 00:04:21,29.0,63.0,84.0
2020-05-01 00:04:24,29.0,63.0,84.0
2020-05-01 00:04:27,29.0,63.0,84.0
2020-05-01 00:04:30,29.0,63.0,84.0
2020-05-01 00:04:33,29.0,63.0,84.0
2020-05-01 00:04:36,29.0,63.0,84.0
2020-05-01 00:04:39,29.0,63.0,84.0
2020-05-01 00:04:42,29.0,63.0,84.0
2020-05-01 00:04:45,29.0,63.0,84.0
2020-05-01 00:04:48,29.0,63.0,84.0
2020-05-01 00:04:51,29.0,63.0,84.0
2020-05-01 00:04:54,29.0,63.0,84.0
2020-05-01 00:04:57,29.0,63.0,84.0
2020-05-01 00:05:00,29.0,63.0,84.0
2020-05-01 00:05:03,29.0,63.0,84.0
2020-05-01 00:05:06,29.0,62.0,84.0
2020-05-01 00:05:09,29.0,62.0,84.0
2020-05-01 00:05:12,29.0,62.0,84.0
2020-05-01 00:05:15,29.0,62.0,84.0
2020-05-01 00:05:18,29.0,62.0,84.0
2020-05-01 00:05:21,29.0,62.0,84.0
2020-05-01 00:05:24,29.0,63.0,84.0
2020-05-01 00:05:27,29.0,63.0,84.0
2020-05-01 00:05:30,29.0,62.0,85.0
2020-05-01 00:05:33,29.0,62.0,85.0
2020-05-01 00:05:36,28.0,62.0,84.0
2020-05-01 00:05:39,28.0,62.0,84.0
2020-05-01 00:05:42,28.0,62.0,84.0
2020-05-01 00:05:45,29.0,63.0,84.0
2020-05-01 00:05:48,29.0,63.0,84.0
2020-05-01 00:05:51,28.0,63.0,84.0
2020-05-01 00:05:54,28.0,63.0,84.0
2020-05-01 00:05:57,29.0,62.0,84.0
2020-05-01 00:06:00,29.0,62.0,84.0
2020-05-01 00:06:03,29.0,62.0,84.0
2020-05-01 00:06:06,29.0,62.0,84.0
2020-05-01 00:06:09,29.0,63.0,84.0
2020-05-01 00:06:12,29.0,63.0,84.0
2020-05-01 00:06:15,29.0,63.0,84.0
2020-05-01 00:06:18,29.0,63.0,84.0
2020-05-01 00:06:21,29.0,63.0,84.0
2020-05-01 00:06:24,29.0,63.0,84.0
2020-05-01 00:06:27,29.0,63.0,84.0
2020-05-01 00:06:30,29.0,62.0,84.0
2020-05-01 00:06:33,29.0,62.0,84.0
2020-05-01 00:06:36,29.0,62.0,84.0
2020-05-01 00:06:39,29.0,62.0,84.0
2020-05-01 00:06:42,29.0,63.0,84.0
2020-05-01 00:06:45,29.0,63.0,84.0
2020-05-01 00:06:48,29.0,62.0,84.0
2020-05-01 00:06:51,29.0,62.0,84.0
2020-05-01 00:06:54,28.0,63.0,84.0
2020-05-01 00:06:57,28.0,63.0,84.0
2020-05-01 00:07:00,28.0,63.0,84.0
2020-05-01 00:07:03,29.0,62.0,84.0
2020-05-01 00:07:06,29.0,62.0,84.0
2020-05-01 00:07:09,29.0,62.0,84.0
2020-05-01 00:07:12,29.0,62.0,84.0
2020-05-01 00:07:15,29.0,63.0,84.0
2020-05-01 00:07:18,29.0,63.0,84.0
2020-05-01 00:07:21,29.0,62.0,84.0
2020-05-01 00:07:24,29.0,62.0,84.0
2020-05-01 00:07:27,29.0,62.0,84.0
2020-05-01 00:07:30,29.0,62.0,84.0
2020-05-01 00:07:33,29.0,63.0,85.0
2020-05-01 00:07:36,29.0,63.0,85.0
2020-05-01 00:07:39,29.0,63.0,85.0
2020-05-01 00:07:42,28.0,63.0,84.0
2020-05-01 00:07:45,28.0,63.0,84.0
2020-05-01 00:07:48,29.0,63.0,85.0
2020-05-01 00:07:51,29.0,63.0,85.0
2020-05-01 00:07:54,29.0,62.0,85.0
2020-05-01 00:07:57,29.0,62.0,85.0
2020-05-01 00:08:00,29.0,62.0,84.0
2020-05-01 00:08:03,29.0,62.0,84.0
2020-05-01 00:08:06,29.0,63.0,84.0
2020-05-01 00:08:09,29.0,63.0,84.0
