,waktu,kelembaban_permukaan,suhu_permukaan,kelembaban_2,suhu_2,kelembaban_3,suhu_3,curah
0,2020-03-04 21:00:00,71.0,25.0,70.0,26.0,64.0,24.0,50.0
1,2020-03-04 22:00:00,62.0,25.0,60.0,26.0,57.0,24.0,0.0
2,2020-03-04 23:00:00,64.0,25.0,61.0,25.0,62.0,24.0,4.0
3,2020-03-05 00:00:00,63.0,24.0,61.0,25.0,64.0,23.0,3.0
4,2020-03-05 01:00:00,63.0,24.0,59.0,24.0,62.0,23.0,4.0
5,2020-03-05 02:00:00,63.0,24.0,59.0,24.0,62.0,22.0,4.0
6,2020-03-05 03:00:00,63.0,24.0,59.0,24.0,62.0,22.0,1.0
7,2020-03-05 04:00:00,63.0,23.0,59.0,24.0,61.0,22.0,5.0
8,2020-03-05 05:00:00,60.0,23.0,57.0,24.0,57.0,22.0,0.0
9,2020-03-05 06:00:00,59.0,23.0,57.0,24.0,54.0,22.0,0.0
10,2020-03-05 07:00:00,59.0,23.0,56.0,24.0,54.0,22.0,1.0
11,2020-03-05 08:00:00,60.0,24.0,57.0,26.0,55.0,22.0,0.0
12,2020-03-05 09:00:00,59.0,26.0,57.0,28.0,55.0,23.0,1.0
13,2020-03-05 10:00:00,59.0,27.0,56.0,28.0,54.0,24.0,0.0
14,2020-03-05 11:00:00,57.0,27.0,55.0,28.0,53.0,24.0,0.0
15,2020-03-05 12:00:00,60.0,29.0,57.0,31.0,54.0,25.0,0.0
16,2020-03-05 13:00:00,59.0,29.0,57.0,32.0,54.0,26.0,0.0
17,2020-03-05 14:00:00,57.0,29.0,56.0,31.0,53.0,26.0,0.0
18,2020-03-05 15:00:00,57.0,28.0,56.0,30.0,53.0,26.0,0.0
19,2020-03-05 16:00:00,57.0,27.0,56.0,29.0,53.0,25.0,0.0
20,2020-03-05 17:00:00,57.0,27.0,56.0,28.0,54.0,25.0,0.0
21,2020-03-05 18:00:00,57.0,26.0,56.0,27.0,54.0,24.0,0.0
22,2020-03-05 19:00:00,57.0,26.0,56.0,26.0,54.0,24.0,0.0
23,2020-03-05 20:00:00,57.0,25.0,56.0,26.0,54.0,23.0,0.0
24,2020-03-05 21:00:00,57.0,25.0,56.0,25.0,53.0,23.0,0.0
25,2020-03-05 22:00:00,57.0,25.0,56.0,25.0,54.0,23.0,0.0
26,2020-03-05 23:00:00,56.0,24.0,55.0,25.0,53.0,22.0,0.0
27,2020-03-06 00:00:00,56.0,24.0,55.0,24.0,53.0,22.0,0.0
28,2020-03-06 01:00:00,59.0,24.0,57.0,25.0,54.0,22.0,0.0
29,2020-03-06 02:00:00,56.0,24.0,56.0,25.0,53.0,22.0,0.0
30,2020-03-06 03:00:00,57.0,24.0,56.0,25.0,53.0,22.0,0.0
31,2020-03-06 04:00:00,56.0,24.0,56.0,25.0,53.0,22.0,0.0
32,2020-03-06 05:00:00,57.0,24.0,56.0,25.0,53.0,22.0,0.0
33,2020-03-06 06:00:00,57.0,25.0,56.0,25.0,53.0,22.0,0.0
34,2020-03-06 07:00:00,57.0,26.0,56.0,26.0,52.0,23.0,0.0
35,2020-03-06 08:00:00,57.0,26.0,56.0,28.0,52.0,23.0,0.0
36,2020-03-06 09:00:00,56.0,27.0,56.0,32.0,50.0,24.0,0.0
37,2020-03-06 10:00:00,57.0,29.0,56.0,35.0,50.0,24.0,0.0
38,2020-03-06 11:00:00,56.0,35.0,57.0,39.0,48.0,26.0,0.0
39,2020-03-06 12:00:00,55.0,37.0,57.0,40.0,47.0,28.0,0.0
40,2020-03-06 13:00:00,51.0,37.0,56.0,42.0,44.0,30.0,0.0
41,2020-03-06 14:00:00,50.0,37.0,55.0,43.0,43.0,30.0,0.0
42,2020-03-06 15:00:00,50.0,34.0,55.0,38.0,43.0,30.0,0.0
43,2020-03-06 16:00:00,50.0,31.0,55.0,33.0,44.0,28.0,0.0
44,2020-03-06 17:00:00,36.0,31.0,58.0,31.0,59.0,27.0,0.0
45,2020-03-06 18:00:00,11.0,35.0,61.0,30.0,73.0,26.0,0.0
46,2020-03-06 19:00:00,11.0,31.0,60.0,29.0,72.0,26.0,0.0
47,2020-03-06 20:00:00,11.0,42.0,60.0,27.0,72.0,25.0,0.0
48,2020-03-06 21:00:00,11.0,55.0,60.0,28.0,71.0,25.0,1.0
49,2020-03-06 22:00:00,11.0,55.0,60.0,27.0,71.0,25.0,0.0
50,2020-03-06 23:00:00,11.0,61.0,60.0,27.0,71.0,24.0,0.0
51,2020-03-07 00:00:00,13.0,71.0,60.0,26.0,71.0,24.0,0.0
52,2020-03-07 01:00:00,18.0,75.0,60.0,26.0,71.0,24.0,0.0
53,2020-03-07 02:00:00,16.0,87.0,60.0,26.0,70.0,24.0,0.0
54,2020-03-07 03:00:00,15.0,85.0,60.0,25.0,70.0,24.0,0.0
55,2020-03-07 04:00:00,12.0,88.0,60.0,25.0,70.0,24.0,0.0
56,2020-03-07 05:00:00,11.0,87.0,59.0,26.0,70.0,24.0,0.0
57,2020-03-07 06:00:00,11.0,88.0,59.0,27.0,70.0,24.0,1.0
58,2020-03-07 07:00:00,11.0,90.0,59.0,30.0,70.0,24.0,0.0
59,2020-03-07 08:00:00,11.0,92.0,60.0,35.0,70.0,25.0,0.0
60,2020-03-07 09:00:00,11.0,87.0,60.0,39.0,70.0,26.0,0.0
61,2020-03-07 10:00:00,11.0,83.0,60.0,43.0,70.0,29.0,0.0
62,2020-03-07 11:00:00,11.0,89.0,60.0,40.0,70.0,31.0,0.0
63,2020-03-07 12:00:00,11.0,88.0,60.0,38.0,70.0,30.0,0.0
64,2020-03-07 13:00:00,11.0,87.0,60.0,37.0,70.0,30.0,0.0
65,2020-03-07 14:00:00,11.0,91.0,60.0,35.0,70.0,30.0,0.0
66,2020-03-07 15:00:00,11.0,89.0,60.0,33.0,70.0,29.0,0.0
67,2020-03-07 16:00:00,11.0,83.0,60.0,32.0,70.0,28.0,0.0
68,2020-03-08 20:00:00,11.0,46.0,61.0,27.0,68.0,25.0,0.0
69,2020-03-08 21:00:00,11.0,46.0,61.0,26.0,68.0,24.0,0.0
70,2020-03-08 22:00:00,11.0,46.0,61.0,27.0,68.0,24.0,26.0
71,2020-03-08 23:00:00,11.0,46.0,60.0,27.0,68.0,24.0,0.0
72,2020-03-09 00:00:00,11.0,43.0,60.0,26.0,68.0,24.0,0.0
73,2020-03-09 01:00:00,11.0,42.0,60.0,26.0,68.0,24.0,0.0
