waktu,Unnamed: 0,kelembaban,suhu,permukaan,hujan,curah
2020-03-10 00:00:08,19364,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:00:21,19365,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:00:28,19366,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:00:34,19367,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:00:41,19368,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:00:54,19369,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:01:01,19370,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:01:26,19371,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:01:33,19372,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:02:11,19373,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:02:18,19374,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:02:24,19375,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:02:30,19376,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:02:36,19377,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:02:50,19378,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:02:56,19379,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:03:03,19380,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:03:10,19381,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:03:15,19382,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:03:35,19383,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:03:41,19384,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:03:48,19385,67.0,28.0,26.0,115.0,0.0
2020-03-10 00:03:54,19386,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:04:01,19387,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:04:07,19388,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:04:27,19389,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:04:46,19390,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:04:53,19391,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:04:59,19392,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:05:06,19393,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:05:18,19394,67.0,28.0,26.0,115.0,0.0
2020-03-10 00:05:25,19395,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:05:31,19396,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:05:38,19397,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:05:44,19398,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:06:17,19399,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:06:22,19400,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:06:36,19401,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:06:55,19402,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:07:01,19403,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:07:14,19404,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:07:27,19405,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:07:40,19406,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:08:05,19407,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:08:19,19408,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:08:31,19409,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:08:38,19410,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:08:50,19411,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:08:57,19412,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:09:04,19413,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:09:10,19414,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:09:23,19415,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:09:29,19416,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:10:14,19417,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:10:27,19418,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:10:34,19419,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:10:40,19420,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:11:11,19421,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:11:25,19422,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:11:38,19423,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:11:44,19424,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:11:51,19425,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:12:03,19426,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:12:10,19427,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:12:16,19428,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:12:23,19429,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:12:36,19430,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:13:08,19431,67.0,38.0,25.0,115.0,0.0
2020-03-10 00:13:40,19432,66.0,38.0,25.0,115.0,0.0
2020-03-10 00:13:46,19433,66.0,35.0,25.0,115.0,0.0
2020-03-10 00:13:53,19434,66.0,37.0,25.0,115.0,0.0
2020-03-10 00:14:00,19435,67.0,37.0,25.0,115.0,0.0
2020-03-10 00:14:12,19436,67.0,38.0,25.0,115.0,0.0
2020-03-10 00:14:19,19437,66.0,37.0,25.0,115.0,0.0
2020-03-10 00:14:31,19438,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:14:38,19439,66.0,37.0,25.0,115.0,0.0
2020-03-10 00:14:44,19440,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:14:58,19441,67.0,36.0,25.0,115.0,0.0
2020-03-10 00:15:04,19442,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:15:11,19443,66.0,37.0,25.0,115.0,0.0
2020-03-10 00:15:17,19444,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:15:23,19445,66.0,37.0,25.0,115.0,0.0
2020-03-10 00:15:37,19446,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:15:43,19447,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:16:02,19448,67.0,35.0,25.0,115.0,0.0
2020-03-10 00:16:09,19449,67.0,35.0,25.0,115.0,0.0
2020-03-10 00:16:16,19450,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:16:22,19451,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:16:29,19452,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:16:35,19453,67.0,36.0,25.0,115.0,0.0
2020-03-10 00:16:41,19454,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:16:54,19455,66.0,37.0,25.0,115.0,0.0
2020-03-10 00:17:01,19456,67.0,36.0,25.0,115.0,0.0
2020-03-10 00:17:07,19457,67.0,35.0,25.0,115.0,0.0
2020-03-10 00:17:14,19458,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:17:21,19459,67.0,36.0,25.0,115.0,0.0
2020-03-10 00:17:27,19460,67.0,35.0,25.0,115.0,0.0
2020-03-10 00:17:34,19461,66.0,35.0,25.0,115.0,0.0
2020-03-10 00:17:46,19462,66.0,35.0,25.0,115.0,0.0
2020-03-10 00:17:53,19463,67.0,36.0,25.0,115.0,0.0
2020-03-10 00:17:59,19464,67.0,35.0,25.0,115.0,0.0
2020-03-10 00:18:12,19465,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:18:18,19466,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:18:25,19467,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:18:32,19468,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:18:38,19469,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:18:51,19470,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:19:04,19471,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:19:17,19472,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:19:36,19473,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:20:08,19474,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:20:14,19475,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:20:53,19476,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:21:05,19477,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:21:12,19478,67.0,37.0,25.0,115.0,0.0
2020-03-10 00:21:18,19479,66.0,37.0,25.0,115.0,0.0
2020-03-10 00:21:25,19480,67.0,37.0,25.0,115.0,0.0
2020-03-10 00:21:31,19481,66.0,37.0,25.0,115.0,0.0
2020-03-10 00:21:38,19482,67.0,37.0,25.0,115.0,0.0
2020-03-10 00:22:03,19483,66.0,37.0,25.0,115.0,0.0
2020-03-10 00:22:05,19484,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:22:10,19485,67.0,37.0,25.0,115.0,0.0
2020-03-10 00:22:17,19486,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:22:23,19487,67.0,36.0,25.0,115.0,0.0
2020-03-10 00:22:30,19488,66.0,37.0,25.0,115.0,0.0
2020-03-10 00:22:42,19489,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:22:49,19490,67.0,36.0,25.0,115.0,0.0
2020-03-10 00:23:02,19491,66.0,35.0,25.0,115.0,0.0
2020-03-10 00:23:08,19492,66.0,35.0,25.0,115.0,0.0
2020-03-10 00:23:10,19493,67.0,36.0,25.0,115.0,0.0
2020-03-10 00:23:34,19494,66.0,35.0,25.0,115.0,0.0
2020-03-10 00:23:41,19495,66.0,35.0,25.0,115.0,0.0
2020-03-10 00:23:47,19496,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:24:00,19497,66.0,36.0,25.0,115.0,0.0
2020-03-10 00:24:06,19498,67.0,36.0,25.0,115.0,0.0
2020-03-10 00:24:08,19499,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:24:13,19500,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:24:33,19501,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:24:51,19502,66.0,28.0,26.0,115.0,0.0
2020-03-10 00:24:58,19503,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:25:04,19504,66.0,28.0,26.0,115.0,0.0
2020-03-10 00:25:13,19505,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:25:17,19506,67.0,28.0,26.0,115.0,0.0
2020-03-10 00:25:24,19507,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:25:43,19508,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:25:50,19509,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:25:56,19510,66.0,28.0,25.0,115.0,0.0
2020-03-10 00:26:03,19511,67.0,28.0,26.0,115.0,0.0
2020-03-10 00:26:10,19512,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:26:41,19513,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:26:47,19514,67.0,28.0,25.0,115.0,0.0
2020-03-10 00:26:54,19515,67.0,38.0,25.0,115.0,0.0
2020-03-10 00:27:00,19516,67.0,39.0,25.0,115.0,0.0
2020-03-10 00:27:07,19517,66.0,38.0,25.0,115.0,0.0
2020-03-10 00:27:21,19518,66.0,38.0,25.0,115.0,0.0
2020-03-10 00:27:39,19519,67.0,38.0,25.0,115.0,0.0
2020-03-10 00:27:40,19520,67.0,37.0,25.0,115.0,0.0
2020-03-10 00:27:46,19521,67.0,37.0,25.0,115.0,0.0
2020-03-10 00:27:53,19522,67.0,38.0,25.0,115.0,0.0
